"port_code","harbor_size","overhead_limits","channel_depth","anchorage_depth","cargo_depth","cranes_fixed","cranes_mobile","cranes_floating","railway","lifts100","lifts50","lifts25","lifts0","max_lift","lat","long"
"FRGFR","V","Y",0,6,8,1,1,0,1,"U","U","U","Y",12,48.8333333333333,-1.6
"FRGRV","V","Y",0,9,NA,1,1,0,1,"U","U","U","Y",12,51,2.11666666666667
"FRHON","V","U",3,13,8,1,1,0,0,"U","U","U","Y",12,49.4166666666667,0.216666666666667
"FRLPE","M","U",11,13,14,1,1,1,0,"U","Y","Y","Y",12,46.1666666666667,-1.21666666666667
"FRLRH","M","U",11,5,9,1,1,0,1,"U","U","Y","Y",12,46.15,-1.15
"FRLLG","V","U",0,6,5,1,1,1,0,"U","U","U","Y",12,48.5333333333333,-2.75
"FRLSO","M","Y",6,8,6,1,1,0,0,"U","U","U","Y",12,46.5,-1.8
"FRLTR","V","Y",0,14,6,1,1,0,1,"U","U","U","Y",12,50.0666666666667,1.36666666666667
"FRLVE","S","U",13,9,16,0,1,0,0,"U","U","Y","U",37,45.55,-1.05
"FRILR","V","U",6,23,8,0,0,0,0,"U","U","U","U",0,42.6333333333333,8.93333333333333
"FRLRT","M","Y",8,19,10,1,1,0,1,"U","Y","Y","Y",12,47.75,-3.35
"FRMRS","S","Y",13,11,16,1,1,1,1,"Y","Y","Y","Y",12,43.3166666666667,5.36666666666667
"FRMTX","M","U",13,NA,11,0,0,0,0,"U","U","U","U",0,47.3,-2.13333333333333
"FRMXN","S","Y",0,20,3,1,1,0,1,"U","U","U","Y",12,48.5833333333333,-3.83333333333333
"FRNTE","M","Y",8,19,5,1,1,1,1,"U","Y","Y","Y",12,47.2,-1.56666666666667
"FRNCE","S","N",6,13,8,1,1,0,1,"U","U","U","Y",12,43.7,7.28333333333333
"FROUI","V","Y",6,11,8,1,1,0,0,"U","U","Y","Y",12,49.2833333333333,-0.25
"FRPAI","V","Y",0,8,3,1,0,0,1,"U","U","U","Y",12,48.7833333333333,-3.05
"FRPAP","S","U",9,9,11,1,1,0,0,"U","U","U","Y",12,45.2,-0.75
"FRPOX","V","Y",2,11,3,0,0,0,0,"U","U","U","U",0,48.7,-3.15
"FRAJA","S","U",23,23,8,1,1,0,0,"U","U","U","Y",12,41.9166666666667,8.75
"FRPDB","S","Y",11,11,8,1,1,1,1,"U","U","U","Y",12,43.4,4.98333333333333
"FRCFR","S","Y",6,11,8,1,1,0,1,"U","U","Y","Y",12,49.1833333333333,-0.35
"FRPRP","V","U",9,9,5,0,0,0,0,"U","U","U","Y",12,41.6833333333333,8.9
"FRROS","V","Y",5,14,6,0,1,0,1,"U","Y","Y","Y",12,48.7333333333333,-3.98333333333333
"FRNOU","S","Y",5,20,8,0,1,0,1,"U","U","U","Y",12,43.0166666666667,3.06666666666667
"FRLEH","L","Y",14,6,16,1,1,1,1,"Y","Y","Y","Y",12,49.4833333333333,0.116666666666667
"FRURO","L","Y",9,13,11,1,1,1,1,"U","Y","Y","Y",12,49.45,1.06666666666667
"FRPVO","V","U",5,20,8,0,0,0,0,"U","U","U","U",0,41.5833333333333,9.28333333333333
